Estimated optical constants of the Tagish Lake meteorite, from Roush,
Meteoritics and Planetary Science, v. 38, no. 3, 419-426, 2003.
  Wavelength Frequency  real     imaginary
  (microns)    (cm-1)   index      index
    8.6402   1157.38   1.68301  1.7531E-02
    8.6258   1159.31   1.68307  1.7218E-02
    8.6115   1161.24   1.68312  1.6881E-02
    8.5972   1163.17   1.68329  1.6632E-02
    8.5830   1165.09   1.68333  1.6435E-02
    8.5688   1167.02   1.68346  1.6179E-02
    8.5547   1168.95   1.68353  1.5928E-02
    8.5406   1170.88   1.68364  1.5727E-02
    8.5265   1172.81   1.68378  1.5540E-02
    8.5125   1174.74   1.68389  1.5353E-02
    8.4986   1176.66   1.68395  1.5181E-02
    8.4847   1178.59   1.68404  1.5008E-02
    8.4708   1180.53   1.68418  1.4820E-02
    8.4570   1182.45   1.68425  1.4664E-02
    8.4432   1184.39   1.68439  1.4520E-02
    8.4295   1186.31   1.68445  1.4380E-02
    8.4158   1188.24   1.68459  1.4240E-02
    8.4022   1190.16   1.68465  1.4112E-02
    8.3886   1192.09   1.68475  1.3994E-02
    8.3750   1194.03   1.68487  1.3877E-02
    8.3615   1195.96   1.68492  1.3766E-02
    8.3480   1197.89   1.68504  1.3660E-02
    8.3346   1199.82   1.68508  1.3557E-02
    8.3212   1201.75   1.68519  1.3447E-02
    8.3079   1203.67   1.68523  1.3333E-02
    8.2946   1205.60   1.68535  1.3229E-02
    8.2814   1207.53   1.68540  1.3129E-02
    8.2682   1209.45   1.68548  1.3037E-02
    8.2550   1211.39   1.68559  1.2951E-02
    8.2419   1213.31   1.68562  1.2857E-02
    8.2288   1215.24   1.68569  1.2763E-02
    8.2157   1217.18   1.68580  1.2664E-02
    8.2027   1219.11   1.68588  1.2581E-02
    8.1898   1221.03   1.68591  1.2505E-02
    8.1769   1222.96   1.68598  1.2423E-02
    8.1640   1224.89   1.68609  1.2351E-02
    8.1512   1226.81   1.68611  1.2273E-02
    8.1384   1228.74   1.68617  1.2172E-02
    8.1256   1230.68   1.68629  1.2085E-02
    8.1129   1232.60   1.68632  1.2033E-02
    8.1002   1234.54   1.68642  1.1963E-02
    8.0876   1236.46   1.68645  1.1880E-02
    8.0750   1238.39   1.68652  1.1806E-02
    8.0624   1240.33   1.68662  1.1738E-02
    8.0499   1242.25   1.68665  1.1669E-02
    8.0374   1244.18   1.68675  1.1599E-02
    8.0250   1246.11   1.68678  1.1537E-02
    8.0126   1248.03   1.68684  1.1476E-02
    8.0002   1249.97   1.68694  1.1410E-02
    7.9879   1251.89   1.68697  1.1340E-02
    7.9756   1253.82   1.68704  1.1273E-02
    7.9633   1255.76   1.68715  1.1219E-02
    7.9511   1257.69   1.68722  1.1171E-02
    7.9390   1259.60   1.68721  1.1121E-02
    7.9268   1261.54   1.68734  1.1077E-02
    7.9147   1263.47   1.68736  1.1032E-02
    7.9026   1265.41   1.68745  1.0983E-02
    7.8906   1267.33   1.68747  1.0932E-02
    7.8786   1269.26   1.68756  1.0888E-02
    7.8667   1271.18   1.68758  1.0821E-02
    7.8548   1273.11   1.68765  1.0765E-02
    7.8429   1275.04   1.68771  1.0721E-02
    7.8310   1276.98   1.68780  1.0680E-02
    7.8192   1278.90   1.68782  1.0638E-02
    7.8074   1280.84   1.68791  1.0598E-02
    7.7957   1282.76   1.68792  1.0553E-02
    7.7840   1284.69   1.68797  1.0501E-02
    7.7723   1286.62   1.68806  1.0456E-02
    7.7607   1288.54   1.68808  1.0411E-02
    7.7491   1290.47   1.68813  1.0367E-02
    7.7375   1292.41   1.68822  1.0311E-02
    7.7260   1294.33   1.68825  1.0262E-02
    7.7145   1296.26   1.68831  1.0223E-02
    7.7030   1298.20   1.68840  1.0185E-02
    7.6916   1300.12   1.68842  1.0137E-02
    7.6802   1302.05   1.68848  1.0087E-02
    7.6688   1303.98   1.68857  1.0054E-02
    7.6575   1305.91   1.68859  1.0021E-02
    7.6462   1307.84   1.68868  9.9822E-03
    7.6350   1309.76   1.68867  9.9273E-03
    7.6237   1311.70   1.68880  9.8728E-03
    7.6125   1313.63   1.68887  9.8339E-03
    7.6014   1315.55   1.68887  9.7966E-03
    7.5902   1317.49   1.68903  9.7602E-03
    7.5792   1319.40   1.68900  9.7241E-03
    7.5681   1321.34   1.68914  9.6819E-03
    7.5571   1323.26   1.68918  9.6526E-03
    7.5461   1325.19   1.68926  9.6302E-03
    7.5351   1327.12   1.68932  9.6023E-03
    7.5241   1329.06   1.68942  9.5860E-03
    7.5132   1330.99   1.68949  9.5677E-03
    7.5024   1332.91   1.68949  9.5410E-03
    7.4915   1334.85   1.68963  9.5094E-03
    7.4807   1336.77   1.68966  9.4849E-03
    7.4699   1338.71   1.68977  9.4682E-03
    7.4592   1340.63   1.68982  9.4476E-03
    7.4485   1342.55   1.68989  9.4329E-03
    7.4378   1344.48   1.68997  9.4194E-03
    7.4271   1346.42   1.69008  9.4013E-03
    7.4165   1348.34   1.69013  9.4045E-03
    7.4059   1350.27   1.69020  9.4119E-03
    7.3953   1352.21   1.69031  9.3892E-03
    7.3848   1354.13   1.69036  9.3881E-03
    7.3743   1356.06   1.69044  9.3926E-03
    7.3638   1357.99   1.69055  9.3794E-03
    7.3534   1359.92   1.69062  9.3798E-03
    7.3430   1361.84   1.69071  9.3984E-03
    7.3326   1363.77   1.69080  9.4109E-03
    7.3222   1365.71   1.69093  9.4348E-03
    7.3119   1367.63   1.69100  9.4686E-03
    7.3016   1369.56   1.69109  9.5075E-03
    7.2913   1371.50   1.69123  9.5588E-03
    7.2811   1373.42   1.69128  9.6398E-03
    7.2709   1375.35   1.69137  9.7085E-03
    7.2607   1377.28   1.69144  9.7895E-03
    7.2505   1379.22   1.69154  9.8861E-03
    7.2404   1381.14   1.69156  9.9713E-03
    7.2303   1383.07   1.69162  1.0060E-02
    7.2202   1385.00   1.69170  1.0183E-02
    7.2102   1386.92   1.69169  1.0308E-02
    7.2002   1388.85   1.69169  1.0417E-02
    7.1902   1390.78   1.69168  1.0522E-02
    7.1802   1392.72   1.69171  1.0625E-02
    7.1703   1394.64   1.69164  1.0718E-02
    7.1604   1396.57   1.69160  1.0802E-02
    7.1505   1398.50   1.69160  1.0877E-02
    7.1407   1400.42   1.69150  1.0934E-02
    7.1309   1402.35   1.69146  1.0968E-02
    7.1211   1404.28   1.69142  1.0982E-02
    7.1113   1406.21   1.69139  1.1007E-02
    7.1015   1408.15   1.69142  1.1036E-02
    7.0918   1410.08   1.69141  1.1075E-02
    7.0822   1411.99   1.69130  1.1117E-02
    7.0725   1413.93   1.69138  1.1150E-02
    7.0629   1415.85   1.69132  1.1204E-02
    7.0533   1417.78   1.69129  1.1280E-02
    7.0437   1419.71   1.69125  1.1331E-02
    7.0341   1421.65   1.69124  1.1390E-02
    7.0246   1423.57   1.69114  1.1437E-02
    7.0151   1425.50   1.69109  1.1463E-02
    7.0056   1427.43   1.69103  1.1514E-02
    6.9961   1429.37   1.69100  1.1548E-02
    6.9867   1431.29   1.69089  1.1557E-02
    6.9773   1433.22   1.69083  1.1566E-02
    6.9679   1435.15   1.69081  1.1606E-02
    6.9586   1437.07   1.69063  1.1603E-02
    6.9492   1439.01   1.69066  1.1583E-02
    6.9399   1440.94   1.69060  1.1578E-02
    6.9307   1442.86   1.69044  1.1579E-02
    6.9214   1444.79   1.69046  1.1562E-02
    6.9122   1446.72   1.69035  1.1522E-02
    6.9030   1448.65   1.69031  1.1484E-02
    6.8938   1450.58   1.69026  1.1474E-02
    6.8846   1452.52   1.69025  1.1439E-02
    6.8755   1454.44   1.69017  1.1393E-02
    6.8664   1456.37   1.69013  1.1382E-02
    6.8573   1458.30   1.69014  1.1355E-02
    6.8483   1460.22   1.69000  1.1315E-02
    6.8392   1462.16   1.69007  1.1270E-02
    6.8302   1464.09   1.68999  1.1253E-02
    6.8212   1466.02   1.69001  1.1232E-02
    6.8123   1467.93   1.68989  1.1211E-02
    6.8033   1469.87   1.68995  1.1188E-02
    6.7944   1471.80   1.68986  1.1162E-02
    6.7855   1473.73   1.68988  1.1139E-02
    6.7767   1475.64   1.68974  1.1121E-02
    6.7678   1477.59   1.68980  1.1088E-02
    6.7590   1479.51   1.68971  1.1040E-02
    6.7502   1481.44   1.68969  1.1018E-02
    6.7414   1483.37   1.68964  1.0998E-02
    6.7326   1485.31   1.68964  1.0957E-02
    6.7239   1487.23   1.68956  1.0908E-02
