alpha-SiO2 extraordinary ray from Handbook of optical constants of 
solids, edited by E.D. Palik (1985) Academic Press.  Values set to 
-1.e+32 where data is not provided.  Values between 4.99 and 32.001
microns come from application of dispersion calculations using the
oscillator parameters from Spitzer and Kleinman, Phys. Rev., 121, 1324,
1961.  Data beyond 32.001 microns is from the Palik reference.
Wavel.    real imag.
microns  index index
--------------------
  12.169   1.5941    3.2536E-02
  12.198   1.5771    3.5141E-02
  12.227   1.5587    3.8184E-02
  12.256   1.5387    4.1767E-02
  12.285   1.5169    4.6023E-02
  12.314   1.4929    5.1130E-02
  12.343   1.4663    5.7329E-02
  12.373   1.4365    6.4953E-02
  12.402   1.4031    7.4423E-02
  12.432   1.3647    8.6525E-02
  12.462   1.3204    1.0226E-01
  12.492   1.2686    1.2326E-01
  12.522   1.2072    1.5220E-01
  12.553   1.1335    1.9373E-01
  12.583   1.0448    2.5624E-01
  12.614   0.9414    3.5508E-01
  12.644   0.8367    5.1358E-01
  12.675   0.7687    7.4331E-01
  12.706   0.7740    1.0274E+00
  12.738   0.8691    1.3437E+00
  12.769   1.0840    1.6816E+00
  12.800   1.4877    1.9967E+00
  12.832   2.1379    2.1089E+00
  12.864   2.7866    1.7523E+00
  12.896   3.0081    1.1633E+00
