Data created using the Lorantz line parameters in J.R. Aronson and P.F.
Strong, Optical constants of minerals and rocks, Applied Optics, 14, 
2914-2920, 1975.  These could be recalculated at any spectral resolution.
Range of validity is given as 1600-250 inverse centimeters.  Be sure to
check the reference for a description of the sample.

high frq. dielec. const=  1.982
Lorentz line parameters
center  width  strength
 8.6356  1158.0  0.1452  0.7899  0.7018
 8.6207  1160.0  0.1430  0.7859  0.6920
 8.6059  1162.0  0.1406  0.7818  0.6812
 8.5911  1164.0  0.1378  0.7780  0.6694
 8.5763  1166.0  0.1346  0.7746  0.6567
 8.5616  1168.0  0.1311  0.7720  0.6432
 8.5470  1170.0  0.1271  0.7701  0.6291
 8.5324  1172.0  0.1228  0.7692  0.6145
 8.5179  1174.0  0.1183  0.7693  0.5997
 8.5034  1176.0  0.1135  0.7703  0.5847
 8.4890  1178.0  0.1087  0.7723  0.5699
 8.4746  1180.0  0.1037  0.7751  0.5552
 8.4602  1182.0  0.0988  0.7788  0.5409
 8.4459  1184.0  0.0939  0.7833  0.5269
 8.4317  1186.0  0.0891  0.7884  0.5134
 8.4175  1188.0  0.0844  0.7941  0.5003
 8.4034  1190.0  0.0799  0.8002  0.4878
 8.3893  1192.0  0.0755  0.8069  0.4758
 8.3752  1194.0  0.0714  0.8139  0.4643
 8.3612  1196.0  0.0674  0.8212  0.4534
 8.3472  1198.0  0.0637  0.8288  0.4430
 8.3333  1200.0  0.0602  0.8366  0.4331
 8.3195  1202.0  0.0569  0.8445  0.4238
 8.3056  1204.0  0.0538  0.8526  0.4149
 8.2919  1206.0  0.0509  0.8608  0.4065
 8.2781  1208.0  0.0482  0.8691  0.3986
 8.2645  1210.0  0.0457  0.8774  0.3911
 8.2508  1212.0  0.0433  0.8857  0.3840
 8.2372  1214.0  0.0412  0.8941  0.3773
 8.2237  1216.0  0.0392  0.9024  0.3710
 8.2102  1218.0  0.0373  0.9107  0.3651
 8.1967  1220.0  0.0356  0.9190  0.3595
