Dypingite optical constants from Roush, J. 
Geophys. Res., 101, 2215-2225, 1996.
  wavelength  calc. ref.  real index  imag. index
 7.8449E+00  3.2591E-02  1.4286E+00   8.5677E-02
 7.8568E+00  3.2448E-02  1.4275E+00   8.5388E-02
 7.8688E+00  3.2307E-02  1.4263E+00   8.5063E-02
 7.8807E+00  3.2168E-02  1.4253E+00   8.4705E-02
 7.8927E+00  3.2028E-02  1.4242E+00   8.4308E-02
 7.9047E+00  3.1888E-02  1.4231E+00   8.3877E-02
 7.9168E+00  3.1748E-02  1.4220E+00   8.3411E-02
 7.9289E+00  3.1607E-02  1.4209E+00   8.2912E-02
 7.9410E+00  3.1464E-02  1.4199E+00   8.2381E-02
 7.9532E+00  3.1321E-02  1.4188E+00   8.1823E-02
 7.9654E+00  3.1174E-02  1.4177E+00   8.1235E-02
 7.9777E+00  3.1026E-02  1.4165E+00   8.0620E-02
 7.9900E+00  3.0874E-02  1.4154E+00   7.9981E-02
 8.0023E+00  3.0720E-02  1.4142E+00   7.9320E-02
 8.0147E+00  3.0563E-02  1.4130E+00   7.8640E-02
 8.0271E+00  3.0402E-02  1.4118E+00   7.7943E-02
 8.0395E+00  3.0239E-02  1.4106E+00   7.7235E-02
 8.0520E+00  3.0071E-02  1.4093E+00   7.6511E-02
 8.0645E+00  2.9900E-02  1.4080E+00   7.5778E-02
 8.0771E+00  2.9726E-02  1.4067E+00   7.5038E-02
 8.0897E+00  2.9547E-02  1.4053E+00   7.4293E-02
 8.1023E+00  2.9365E-02  1.4039E+00   7.3547E-02
 8.1150E+00  2.9180E-02  1.4024E+00   7.2804E-02
 8.1277E+00  2.8990E-02  1.4010E+00   7.2060E-02
 8.1405E+00  2.8796E-02  1.3994E+00   7.1321E-02
 8.1533E+00  2.8599E-02  1.3979E+00   7.0588E-02
 8.1661E+00  2.8398E-02  1.3963E+00   6.9865E-02
 8.1790E+00  2.8193E-02  1.3946E+00   6.9153E-02
 8.1920E+00  2.7985E-02  1.3930E+00   6.8453E-02
 8.2049E+00  2.7774E-02  1.3913E+00   6.7772E-02
 8.2179E+00  2.7559E-02  1.3895E+00   6.7103E-02
 8.2309E+00  2.7340E-02  1.3877E+00   6.6452E-02
 8.2440E+00  2.7118E-02  1.3859E+00   6.5821E-02
 8.2572E+00  2.6892E-02  1.3840E+00   6.5211E-02
 8.2703E+00  2.6664E-02  1.3821E+00   6.4624E-02
 8.2835E+00  2.6433E-02  1.3802E+00   6.4063E-02
