Darapskite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  Range of validity is given
as 5-17 micrometers
  wavelength  calc. ref.  real index  imag. index
 3.0360E+00  2.5939E-02  1.3821E+00   1.1752E-04
 3.0378E+00  2.5936E-02  1.3821E+00   1.1778E-04
 3.0396E+00  2.5934E-02  1.3820E+00   1.1804E-04
 3.0413E+00  2.5931E-02  1.3820E+00   1.1829E-04
 3.0431E+00  2.5929E-02  1.3820E+00   1.1856E-04
 3.0449E+00  2.5927E-02  1.3820E+00   1.1882E-04
 3.0467E+00  2.5924E-02  1.3820E+00   1.1908E-04
 3.0485E+00  2.5922E-02  1.3819E+00   1.1934E-04
 3.0503E+00  2.5919E-02  1.3819E+00   1.1960E-04
 3.0521E+00  2.5917E-02  1.3819E+00   1.1987E-04
 3.0539E+00  2.5914E-02  1.3819E+00   1.2013E-04
 3.0557E+00  2.5912E-02  1.3819E+00   1.2040E-04
 3.0575E+00  2.5910E-02  1.3818E+00   1.2067E-04
 3.0593E+00  2.5907E-02  1.3818E+00   1.2093E-04
 3.0611E+00  2.5905E-02  1.3818E+00   1.2120E-04
 3.0629E+00  2.5902E-02  1.3818E+00   1.2147E-04
 3.0647E+00  2.5900E-02  1.3817E+00   1.2174E-04
 3.0665E+00  2.5897E-02  1.3817E+00   1.2201E-04
 3.0683E+00  2.5895E-02  1.3817E+00   1.2228E-04
 3.0701E+00  2.5892E-02  1.3817E+00   1.2255E-04
 3.0720E+00  2.5890E-02  1.3817E+00   1.2283E-04
 3.0738E+00  2.5887E-02  1.3816E+00   1.2310E-04
 3.0756E+00  2.5885E-02  1.3816E+00   1.2338E-04
 3.0774E+00  2.5882E-02  1.3816E+00   1.2365E-04
 3.0793E+00  2.5880E-02  1.3816E+00   1.2393E-04
 3.0811E+00  2.5877E-02  1.3815E+00   1.2421E-04
 3.0829E+00  2.5875E-02  1.3815E+00   1.2449E-04
 3.0848E+00  2.5872E-02  1.3815E+00   1.2477E-04
 3.0866E+00  2.5870E-02  1.3815E+00   1.2505E-04
 3.0884E+00  2.5867E-02  1.3815E+00   1.2533E-04
 3.0903E+00  2.5865E-02  1.3814E+00   1.2561E-04
 3.0921E+00  2.5862E-02  1.3814E+00   1.2589E-04
 3.0939E+00  2.5860E-02  1.3814E+00   1.2618E-04
 3.0958E+00  2.5857E-02  1.3814E+00   1.2646E-04
 3.0976E+00  2.5855E-02  1.3813E+00   1.2675E-04
 3.0995E+00  2.5852E-02  1.3813E+00   1.2703E-04
 3.1014E+00  2.5849E-02  1.3813E+00   1.2732E-04
 3.1032E+00  2.5847E-02  1.3813E+00   1.2761E-04
 3.1051E+00  2.5844E-02  1.3813E+00   1.2790E-04
 3.1069E+00  2.5842E-02  1.3812E+00   1.2819E-04
 3.1088E+00  2.5839E-02  1.3812E+00   1.2848E-04
 3.1107E+00  2.5836E-02  1.3812E+00   1.2877E-04
 3.1125E+00  2.5834E-02  1.3812E+00   1.2906E-04
