Fibroferrite optical constants from Roush, J. Geophys.
Res., 101, 2215-2224, 1996.  From best fit oscillators
given in Table 5.
  wavelength  calc. ref.  real index  imag. index
 6.8051E+00  2.8790E-02  1.4066E+00   1.0291E-02
 6.8140E+00  2.8681E-02  1.4057E+00   1.0305E-02
 6.8230E+00  2.8571E-02  1.4048E+00   1.0324E-02
 6.8320E+00  2.8461E-02  1.4038E+00   1.0345E-02
 6.8410E+00  2.8350E-02  1.4029E+00   1.0371E-02
 6.8501E+00  2.8238E-02  1.4019E+00   1.0399E-02
 6.8591E+00  2.8127E-02  1.4009E+00   1.0431E-02
 6.8682E+00  2.8014E-02  1.4000E+00   1.0466E-02
 6.8773E+00  2.7901E-02  1.3990E+00   1.0504E-02
 6.8864E+00  2.7787E-02  1.3980E+00   1.0546E-02
 6.8956E+00  2.7672E-02  1.3970E+00   1.0591E-02
 6.9048E+00  2.7557E-02  1.3960E+00   1.0639E-02
 6.9140E+00  2.7441E-02  1.3950E+00   1.0690E-02
 6.9232E+00  2.7324E-02  1.3940E+00   1.0744E-02
 6.9325E+00  2.7206E-02  1.3930E+00   1.0802E-02
 6.9417E+00  2.7088E-02  1.3920E+00   1.0863E-02
 6.9511E+00  2.6969E-02  1.3909E+00   1.0927E-02
 6.9604E+00  2.6848E-02  1.3899E+00   1.0995E-02
 6.9698E+00  2.6727E-02  1.3888E+00   1.1066E-02
 6.9791E+00  2.6606E-02  1.3877E+00   1.1139E-02
 6.9885E+00  2.6483E-02  1.3867E+00   1.1217E-02
 6.9980E+00  2.6359E-02  1.3856E+00   1.1298E-02
 7.0074E+00  2.6234E-02  1.3845E+00   1.1382E-02
 7.0169E+00  2.6108E-02  1.3834E+00   1.1470E-02
 7.0264E+00  2.5981E-02  1.3823E+00   1.1561E-02
 7.0359E+00  2.5854E-02  1.3811E+00   1.1655E-02
 7.0455E+00  2.5724E-02  1.3800E+00   1.1753E-02
 7.0551E+00  2.5594E-02  1.3788E+00   1.1855E-02
 7.0647E+00  2.5463E-02  1.3777E+00   1.1960E-02
 7.0743E+00  2.5330E-02  1.3765E+00   1.2070E-02
 7.0840E+00  2.5196E-02  1.3753E+00   1.2183E-02
 7.0937E+00  2.5061E-02  1.3741E+00   1.2300E-02
 7.1034E+00  2.4925E-02  1.3729E+00   1.2420E-02
 7.1131E+00  2.4787E-02  1.3716E+00   1.2545E-02
 7.1229E+00  2.4648E-02  1.3704E+00   1.2674E-02
 7.1327E+00  2.4508E-02  1.3691E+00   1.2808E-02
 7.1426E+00  2.4366E-02  1.3678E+00   1.2946E-02
 7.1524E+00  2.4223E-02  1.3666E+00   1.3088E-02
 7.1622E+00  2.4079E-02  1.3653E+00   1.3234E-02
 7.1722E+00  2.3933E-02  1.3639E+00   1.3386E-02
 7.1821E+00  2.3785E-02  1.3626E+00   1.3542E-02
 7.1921E+00  2.3635E-02  1.3612E+00   1.3703E-02
 7.2021E+00  2.3484E-02  1.3598E+00   1.3869E-02
 7.2121E+00  2.3332E-02  1.3585E+00   1.4041E-02
 7.2221E+00  2.3177E-02  1.3570E+00   1.4218E-02
 7.2322E+00  2.3022E-02  1.3556E+00   1.4399E-02
 7.2423E+00  2.2864E-02  1.3542E+00   1.4587E-02
 7.2524E+00  2.2705E-02  1.3527E+00   1.4781E-02
