From Marzo et al. (2004) Adv. Space Res., 33, 2246-2251
selenite
  Wavelength
  (microns)       n           k       Q/a theor   Q/a experim
  0.1906D+01  0.1394D+01  0.3081D-02  0.2770D+03  0.2740D+03
  0.1908D+01  0.1394D+01  0.3096D-02  0.2779D+03  0.2790D+03
  0.1910D+01  0.1394D+01  0.3109D-02  0.2789D+03  0.2803D+03
  0.1912D+01  0.1394D+01  0.3123D-02  0.2798D+03  0.2833D+03
  0.1914D+01  0.1394D+01  0.3135D-02  0.2807D+03  0.2865D+03
  0.1916D+01  0.1394D+01  0.3148D-02  0.2816D+03  0.2941D+03
  0.1918D+01  0.1394D+01  0.3161D-02  0.2825D+03  0.2964D+03
  0.1919D+01  0.1394D+01  0.3174D-02  0.2834D+03  0.2975D+03
  0.1921D+01  0.1394D+01  0.3187D-02  0.2842D+03  0.3002D+03
  0.1923D+01  0.1394D+01  0.3199D-02  0.2850D+03  0.3044D+03
  0.1925D+01  0.1394D+01  0.3212D-02  0.2859D+03  0.3088D+03
  0.1927D+01  0.1394D+01  0.3223D-02  0.2867D+03  0.3116D+03
  0.1929D+01  0.1394D+01  0.3235D-02  0.2874D+03  0.3170D+03
  0.1931D+01  0.1394D+01  0.3247D-02  0.2882D+03  0.3214D+03
  0.1932D+01  0.1394D+01  0.3258D-02  0.2889D+03  0.3258D+03
  0.1934D+01  0.1394D+01  0.3270D-02  0.2896D+03  0.3322D+03
  0.1936D+01  0.1394D+01  0.3280D-02  0.2903D+03  0.3357D+03
  0.1938D+01  0.1394D+01  0.3291D-02  0.2910D+03  0.3368D+03
  0.1940D+01  0.1394D+01  0.3301D-02  0.2916D+03  0.3368D+03
  0.1942D+01  0.1394D+01  0.3311D-02  0.2922D+03  0.3376D+03
  0.1944D+01  0.1394D+01  0.3321D-02  0.2928D+03  0.3358D+03
  0.1945D+01  0.1394D+01  0.3330D-02  0.2933D+03  0.3341D+03
  0.1947D+01  0.1394D+01  0.3340D-02  0.2939D+03  0.3328D+03
  0.1949D+01  0.1394D+01  0.3348D-02  0.2943D+03  0.3297D+03
  0.1951D+01  0.1394D+01  0.3357D-02  0.2948D+03  0.3258D+03
  0.1953D+01  0.1394D+01  0.3365D-02  0.2952D+03  0.3215D+03
  0.1955D+01  0.1394D+01  0.3373D-02  0.2956D+03  0.3159D+03
  0.1957D+01  0.1394D+01  0.3380D-02  0.2960D+03  0.3098D+03
  0.1959D+01  0.1394D+01  0.3387D-02  0.2963D+03  0.3059D+03
  0.1961D+01  0.1394D+01  0.3394D-02  0.2966D+03  0.3025D+03
  0.1963D+01  0.1394D+01  0.3401D-02  0.2969D+03  0.3000D+03
  0.1965D+01  0.1394D+01  0.3407D-02  0.2971D+03  0.2980D+03
  0.1967D+01  0.1394D+01  0.3412D-02  0.2973D+03  0.2986D+03
  0.1968D+01  0.1394D+01  0.3417D-02  0.2975D+03  0.2990D+03
  0.1970D+01  0.1394D+01  0.3422D-02  0.2976D+03  0.2998D+03
  0.1972D+01  0.1393D+01  0.3427D-02  0.2977D+03  0.2961D+03
  0.1974D+01  0.1393D+01  0.3431D-02  0.2978D+03  0.2963D+03
  0.1976D+01  0.1393D+01  0.3435D-02  0.2978D+03  0.2948D+03
  0.1978D+01  0.1393D+01  0.3438D-02  0.2978D+03  0.2936D+03
  0.1980D+01  0.1393D+01  0.3441D-02  0.2978D+03  0.2919D+03
  0.1982D+01  0.1393D+01  0.3444D-02  0.2977D+03  0.2919D+03
  0.1984D+01  0.1393D+01  0.3446D-02  0.2976D+03  0.2902D+03
  0.1986D+01  0.1393D+01  0.3448D-02  0.2975D+03  0.2885D+03
  0.1988D+01  0.1393D+01  0.3450D-02  0.2973D+03  0.2856D+03
  0.1990D+01  0.1393D+01  0.3451D-02  0.2972D+03  0.2840D+03
  0.1992D+01  0.1393D+01  0.3452D-02  0.2969D+03  0.2823D+03
  0.1994D+01  0.1393D+01  0.3452D-02  0.2967D+03  0.2798D+03
  0.1996D+01  0.1393D+01  0.3452D-02  0.2964D+03  0.2775D+03
  0.1998D+01  0.1393D+01  0.3452D-02  0.2961D+03  0.2760D+03
  0.2000D+01  0.1393D+01  0.3452D-02  0.2958D+03  0.2729D+03
  0.2002D+01  0.1393D+01  0.3451D-02  0.2954D+03  0.2711D+03
  0.2004D+01  0.1393D+01  0.3450D-02  0.2950D+03  0.2700D+03
  0.2006D+01  0.1393D+01  0.3449D-02  0.2946D+03  0.2699D+03
  0.2008D+01  0.1393D+01  0.3447D-02  0.2942D+03  0.2682D+03
  0.2010D+01  0.1393D+01  0.3446D-02  0.2938D+03  0.2690D+03
  0.2012D+01  0.1393D+01  0.3443D-02  0.2933D+03  0.2677D+03
  0.2014D+01  0.1393D+01  0.3441D-02  0.2928D+03  0.2678D+03
  0.2016D+01  0.1393D+01  0.3439D-02  0.2923D+03  0.2678D+03
  0.2018D+01  0.1393D+01  0.3436D-02  0.2918D+03  0.2682D+03
  0.2020D+01  0.1393D+01  0.3433D-02  0.2912D+03  0.2683D+03
  0.2022D+01  0.1393D+01  0.3430D-02  0.2907D+03  0.2691D+03
  0.2024D+01  0.1393D+01  0.3427D-02  0.2901D+03  0.2694D+03
  0.2026D+01  0.1393D+01  0.3423D-02  0.2895D+03  0.2696D+03
  0.2028D+01  0.1393D+01  0.3420D-02  0.2889D+03  0.2694D+03
  0.2031D+01  0.1393D+01  0.3416D-02  0.2883D+03  0.2688D+03
  0.2033D+01  0.1393D+01  0.3413D-02  0.2877D+03  0.2687D+03
  0.2034D+01  0.1393D+01  0.3409D-02  0.2871D+03  0.2687D+03
  0.2037D+01  0.1393D+01  0.3405D-02  0.2865D+03  0.2702D+03
  0.2039D+01  0.1393D+01  0.3401D-02  0.2859D+03  0.2719D+03
  0.2041D+01  0.1393D+01  0.3397D-02  0.2853D+03  0.2710D+03
  0.2043D+01  0.1393D+01  0.3393D-02  0.2846D+03  0.2718D+03
  0.2045D+01  0.1393D+01  0.3389D-02  0.2840D+03  0.2711D+03
  0.2047D+01  0.1393D+01  0.3385D-02  0.2834D+03  0.2718D+03
  0.2049D+01  0.1393D+01  0.3381D-02  0.2828D+03  0.2723D+03
  0.2051D+01  0.1392D+01  0.3377D-02  0.2822D+03  0.2731D+03
  0.2053D+01  0.1392D+01  0.3373D-02  0.2815D+03  0.2737D+03
  0.2056D+01  0.1392D+01  0.3369D-02  0.2809D+03  0.2750D+03
  0.2058D+01  0.1392D+01  0.3366D-02  0.2803D+03  0.2753D+03
  0.2060D+01  0.1392D+01  0.3362D-02  0.2798D+03  0.2761D+03
  0.2062D+01  0.1392D+01  0.3359D-02  0.2792D+03  0.2765D+03
  0.2064D+01  0.1392D+01  0.3355D-02  0.2786D+03  0.2769D+03
  0.2066D+01  0.1392D+01  0.3352D-02  0.2781D+03  0.2774D+03
  0.2068D+01  0.1392D+01  0.3349D-02  0.2775D+03  0.2777D+03
  0.2070D+01  0.1392D+01  0.3346D-02  0.2770D+03  0.2777D+03
  0.2073D+01  0.1392D+01  0.3343D-02  0.2765D+03  0.2784D+03
  0.2075D+01  0.1392D+01  0.3341D-02  0.2760D+03  0.2795D+03
  0.2077D+01  0.1392D+01  0.3339D-02  0.2755D+03  0.2804D+03
  0.2079D+01  0.1392D+01  0.3337D-02  0.2751D+03  0.2812D+03
  0.2081D+01  0.1392D+01  0.3335D-02  0.2746D+03  0.2813D+03
  0.2083D+01  0.1392D+01  0.3333D-02  0.2742D+03  0.2822D+03
