From Roush 1995, Optical constants of amorphous carbon
in the mid-IR (2.5-25 mm, 4000-400 cm-1), Planet. Space
Sci., 43 (10/11), 1297-1301.

 wavelength  calculated     real      imaginary
  (microns) reflectance     index       index
 2.8633E+00  9.4534E-02  1.7522E+00   4.0698E-01
 2.8649E+00  9.4604E-02  1.7525E+00   4.0739E-01
 2.8665E+00  9.4674E-02  1.7527E+00   4.0779E-01
 2.8681E+00  9.4744E-02  1.7530E+00   4.0819E-01
 2.8697E+00  9.4814E-02  1.7532E+00   4.0859E-01
 2.8712E+00  9.4884E-02  1.7535E+00   4.0899E-01
 2.8728E+00  9.4954E-02  1.7537E+00   4.0939E-01
 2.8744E+00  9.5024E-02  1.7540E+00   4.0978E-01
 2.8760E+00  9.5094E-02  1.7542E+00   4.1018E-01
 2.8776E+00  9.5164E-02  1.7545E+00   4.1057E-01
 2.8792E+00  9.5234E-02  1.7547E+00   4.1096E-01
 2.8808E+00  9.5304E-02  1.7550E+00   4.1135E-01
 2.8824E+00  9.5374E-02  1.7553E+00   4.1174E-01
 2.8840E+00  9.5444E-02  1.7555E+00   4.1212E-01
 2.8856E+00  9.5514E-02  1.7558E+00   4.1251E-01
 2.8872E+00  9.5584E-02  1.7560E+00   4.1289E-01
 2.8889E+00  9.5654E-02  1.7563E+00   4.1327E-01
 2.8905E+00  9.5723E-02  1.7566E+00   4.1366E-01
 2.8921E+00  9.5792E-02  1.7568E+00   4.1403E-01
 2.8937E+00  9.5862E-02  1.7571E+00   4.1441E-01
 2.8953E+00  9.5932E-02  1.7573E+00   4.1479E-01
 2.8969E+00  9.6001E-02  1.7576E+00   4.1516E-01
 2.8985E+00  9.6071E-02  1.7579E+00   4.1553E-01
 2.9002E+00  9.6140E-02  1.7581E+00   4.1591E-01
 2.9018E+00  9.6209E-02  1.7584E+00   4.1627E-01
 2.9034E+00  9.6278E-02  1.7587E+00   4.1664E-01
 2.9050E+00  9.6347E-02  1.7589E+00   4.1701E-01
 2.9067E+00  9.6416E-02  1.7592E+00   4.1738E-01
 2.9083E+00  9.6485E-02  1.7595E+00   4.1774E-01
 2.9099E+00  9.6554E-02  1.7597E+00   4.1810E-01
